Timestamp                       Thread     Type        Activity             PID    TTL  
2026-05-25 07:11:24.730939-0700 0x6b76b    Activity    0xfc4a0              58287  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:11:34.763025-0700 0x6b78a    Activity    0xfc4c0              58296  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:11:44.803988-0700 0x6b7c1    Activity    0xfc580              58317  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:11:54.833840-0700 0x6b7f6    Activity    0xfc640              58337  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:04.868720-0700 0x6b849    Activity    0xfc780              58365  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:14.904221-0700 0x6b865    Activity    0xfc7b0              58374  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:24.922509-0700 0x6b88f    Activity    0xfc800              58383  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:34.952887-0700 0x6b8cc    Activity    0xfc8b0              58401  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:44.987704-0700 0x6b912    Activity    0xfca10              58428  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:12:55.061138-0700 0x6b954    Activity    0xfcb50              58455  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:05.105864-0700 0x6b989    Activity    0xfcc20              58473  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:15.142155-0700 0x6b9d7    Activity    0xfcd70              58503  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:25.187482-0700 0x6ba1f    Activity    0xfceb0              58533  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:35.230496-0700 0x6ba53    Activity    0xfcf60              58553  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:45.272471-0700 0x6ba69    Activity    0xfcf80              58562  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:13:55.314605-0700 0x6ba86    Activity    0xfcfb0              58571  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:05.360080-0700 0x6baa9    Activity    0xfcfe0              58580  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:15.406266-0700 0x6bac5    Activity    0xfd020              58589  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:25.431800-0700 0x6bb00    Activity    0xfd0e0              58612  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:35.473216-0700 0x6bb5d    Activity    0xfd240              58642  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:45.519945-0700 0x6bb7a    Activity    0xfd270              58651  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:14:55.551569-0700 0x6bb91    Activity    0xfd2a0              58660  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:15:05.592324-0700 0x6bbd3    Activity    0xfd370              58684  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:15:25.623519-0700 0x6bc40    Activity    0xfd510              58721  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:15:35.658725-0700 0x6bc8a    Activity    0xfd640              58748  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
2026-05-25 07:15:45.697930-0700 0x6bcc0    Activity    0xfd700              58765  0    rustynetd: (libsystem_info.dylib) Retrieve User by ID
